Menu Item,Component,Ingredient,Portion,Unit,Notes,,Menu List
Cairo Gyro Bowl — Beef/Pork + Tzatziki,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
Shawarma Street Bowl — Toum + Mustard,Base,Jasmine rice (dry),0.250,lb,1 cup,,Shawarma Street Bowl — Toum + Mustard
Shawarma Street Bowl — Toum + Mustard,Protein,Chicken (raw),0.313,lb,4-5 oz raw,,
Shawarma Street Bowl — Toum + Mustard,Veg,Slaw mix,0.150,lb,Crunch layer,,
Shawarma Street Bowl — Toum + Mustard,Pickle,Pickled onion base,0.016,qt,0.5 oz,,
Shawarma Street Bowl — Toum + Mustard,Sauce,Toum Garlic Sauce,0.006,gal,0.75 oz toum,,
Shawarma Street Bowl — Toum + Mustard,Sauce,Mustardy Habanero Hot Sauce (tamed),0.006,gal,0.75 oz mustard,,
Shawarma Street Bowl — Toum + Mustard,Garnish,Herb mix,0.020,lb,Parsley/lemon finish,,
Shawarma Street Bowl — Toum + Mustard,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
Bangkok Smoke Bowl — Peanut-Lime,Base,Jasmine rice (dry),0.250,lb,1 cup,,Bangkok Smoke Bowl — Peanut-Lime
Bangkok Smoke Bowl — Peanut-Lime,Protein,Chicken (raw),0.313,lb,4-5 oz raw,,
Bangkok Smoke Bowl — Peanut-Lime,Veg,Julienne cucumbers,0.050,lb,Fresh cucumber,,
Bangkok Smoke Bowl — Peanut-Lime,Veg,Julienne carrots,0.050,lb,Carrot matchsticks,,
Bangkok Smoke Bowl — Peanut-Lime,Pickle,Pickled onion base,0.016,qt,0.5 oz,,
Bangkok Smoke Bowl — Peanut-Lime,Sauce,Bangkok Peanut Sauce,0.008,gal,1 oz,,
Bangkok Smoke Bowl — Peanut-Lime,Sauce,House Green Sauce (Peruvian + Aioli Fusion),0.004,gal,0.5 oz lime drizzle,,
Bangkok Smoke Bowl — Peanut-Lime,Garnish,Herb mix,0.020,lb,Cilantro garnish,,
Bangkok Smoke Bowl — Peanut-Lime,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
Cajun Buffalo Bowl — Buffalo + Crema,Base,Jasmine rice (dry),0.250,lb,1 cup,,Cajun Buffalo Bowl — Buffalo + Crema
Cajun Buffalo Bowl — Buffalo + Crema,Protein,Chicken (raw),0.313,lb,4-5 oz raw,,
Cajun Buffalo Bowl — Buffalo + Crema,Veg,Slaw mix,0.150,lb,Base crunch,,
Cajun Buffalo Bowl — Buffalo + Crema,Veg,Julienne carrots,0.040,lb,Buffalo carrot,,
Cajun Buffalo Bowl — Buffalo + Crema,Veg,Celery sticks,0.040,lb,Buffalo celery,,
Cajun Buffalo Bowl — Buffalo + Crema,Pickle,Pickled onion base,0.016,qt,0.5 oz,,
Cajun Buffalo Bowl — Buffalo + Crema,Pickle,Pickled carrot base,0.047,qt,1.5 oz,,
Cajun Buffalo Bowl — Buffalo + Crema,Sauce,Buffalo Sauce,0.008,gal,1 oz,,
Cajun Buffalo Bowl — Buffalo + Crema,Sauce,House Green Sauce (Peruvian + Aioli Fusion),0.006,gal,0.75 oz crema,,
Cajun Buffalo Bowl — Buffalo + Crema,Garnish,Herb mix,0.020,lb,Chive garnish,,
Cajun Buffalo Bowl — Buffalo + Crema,Packaging,Packaging cost per bowl,1.000,each,Disposable set,,
